gene_id	gene_symbol	median_cluster1	median_cluster2	diff	p_value	fdr
CYP4A11|1579	CYP4A11	5.823825209177799	9.590188429294074	-3.7663632201162747	1.0488855843095533e-9	3.859517537319407e-7
ASPG|374569	ASPG	3.984925620590671	7.322045309097672	-3.337119688507001	3.683641648871409e-6	1.0881607249693506e-4
FTCD|10841	FTCD	4.758285396278774	7.9939460301518945	-3.2356606338731204	2.635769819188752e-5	4.606585729715614e-4
SLC6A18|348932	SLC6A18	1.8515816400091099	4.807463120128293	-2.9558814801191833	4.411484246658267e-7	2.23199045459675e-5
SCGN|10590	SCGN	5.672296288828005	8.584586749959588	-2.9122904611315823	2.1635016142217435e-9	6.254992238374235e-7
FABP7|2173	FABP7	7.972702627600393	10.810668025399016	-2.837965397798623	0.009010928608818497	0.035785582643924445
SORCS3|22986	SORCS3	4.374013046445248	7.1040850050114885	-2.7300719585662403	0.009682078109237645	0.0377472349787616
LOC285768|285768	LOC285768	3.55302755360833	6.272420771492628	-2.7193932178842983	6.155635056461584e-11	6.556723277508923e-8
SLC6A19|340024	SLC6A19	4.598446240201941	7.303059220259644	-2.7046129800577026	6.264846424927072e-4	0.004852199079512977
SLC22A6|9356	SLC22A6	4.557042937270136	7.260816060381343	-2.7037731231112065	7.82417438739906e-5	0.0010085709633896954
SLC10A2|6555	SLC10A2	5.517337958717198	8.163030706323106	-2.6456927476059082	2.5446961968682374e-8	2.971975731437407e-6
GRIA4|2893	GRIA4	3.1084607465880882	5.72524217908228	-2.616781432494192	9.89381980688438e-4	0.0068245100631126815
LPPR5|163404	LPPR5	3.6639280833419137	6.280293813323097	-2.6163657299811836	5.261974689604759e-5	7.609646405622377e-4
SLC5A8|160728	SLC5A8	6.407583078103835	9.016794361991536	-2.609211283887701	3.762137588846898e-7	1.9842045925464553e-5
SLC17A4|10050	SLC17A4	7.122825641828532	9.719667749245453	-2.5968421074169203	4.5797321475976054e-9	9.654647833654201e-7
LOC388387|388387	LOC388387	4.225046696556346	6.637758032017132	-2.412711335460786	1.0442864912150222e-5	2.3352784540563116e-4
VIL1|7429	VIL1	5.345859625249474	7.750264815754515	-2.4044051905050408	3.265521307935944e-7	1.8046219379471267e-5
TEX15|56154	TEX15	3.145551819405398	5.467810936112533	-2.3222591167071354	0.0028856480320071307	0.015376446780347634
REN|5972	REN	5.695149628426977	8.004287893527271	-2.3091382651002945	2.6654357302081505e-6	8.548825405380752e-5
SLC22A24|283238	SLC22A24	0.9191671754575008	3.1259486020433327	-2.206781426585832	2.702928751669421e-9	6.837734009535718e-7
SLC17A3|10786	SLC17A3	9.62190285559019	11.789464361341516	-2.1675615057513262	2.3686146687660158e-9	6.657781064789809e-7
SLC13A1|6561	SLC13A1	6.260358253241774	8.405554210633888	-2.1451959573921133	3.023936507307791e-5	5.095622567435061e-4
SYT9|143425	SYT9	4.976957955969024	7.103245838491267	-2.1262878825222433	1.6808811567417121e-7	1.1415326459778112e-5
HAO2|51179	HAO2	6.097034260740688	8.20635995475866	-2.109325694017972	2.0290876391530224e-9	5.951402266837516e-7
SLC5A12|159963	SLC5A12	8.53220706733481	10.618348791994075	-2.0861417246592655	1.7664090214887975e-8	2.465419708751054e-6
OR2T10|127069	OR2T10	1.1651277154720847	3.2448718407411494	-2.0797441252690647	3.3180459248383748e-9	7.940348337731174e-7
TMEM82|388595	TMEM82	3.5331342790973057	5.599174945533261	-2.0660406664359554	2.813379756052834e-6	8.892629409422842e-5
FAM151A|338094	FAM151A	4.319305013862058	6.36813973900714	-2.048834725145082	2.6422871079997136e-6	8.488032776460033e-5
C14orf180|400258	C14orf180	1.9106067028618408	3.9455327949521237	-2.034926092090283	4.460148088168045e-5	6.763528638486494e-4
FAM196B|100131897	FAM196B	3.3571296906059285	5.376880733829592	-2.019751043223663	4.515736827572066e-6	1.268482028056064e-4
