gene_id	gene_symbol	median_cluster1	median_cluster2	diff	p_value	fdr
KDR|3791	KDR	11.043088195443431	12.506339816964863	-1.4632516215214313	1.0206552998151156e-13	2.065602195765831e-9
FLT1|2321	FLT1	12.407001979911652	13.683860905852677	-1.276858925941026	4.226890958960464e-13	4.277190961372094e-9
PPAP2B|8613	PPAP2B	11.800064816202468	12.760245900616022	-0.9601810844135539	1.1598881108194824e-12	7.824605195588228e-9
PLXNA2|5362	PLXNA2	9.76384093220834	10.581483066351188	-0.8176421341428473	1.9378936589108666e-12	9.804772967259529e-9
TMEM150C|441027	TMEM150C	7.463179357880758	8.854510001969784	-1.3913306440890256	2.7777679531653058e-12	1.1243293567231891e-8
VWF|7450	VWF	13.360540692867902	14.663424679887363	-1.3028839870194613	3.5774907019569247e-12	1.2066876137700707e-8
TAL2|6887	TAL2	3.006523433545601	4.570329341967111	-1.56380590842151	9.25570600110777e-12	2.6759568292917007e-8
PDGFD|80310	PDGFD	9.946531136965909	11.011695496133159	-1.06516435916725	1.0900525392614594e-11	2.757560411196677e-8
F8|2157	F8	9.748357656990041	10.522081257938773	-0.7737236009487312	1.3291019604118316e-11	2.890358515472307e-8
PTPRB|5787	PTPRB	10.305976940442061	11.773295833678821	-1.4673188932367598	1.4281838696868796e-11	2.890358515472307e-8
RIT1|6016	RIT1	10.288722474289322	10.823064656377115	-0.5343421820877925	1.590514506298444e-11	2.926257507133446e-8
KCNE3|10008	KCNE3	10.25359888283396	11.046967088912513	-0.7933682060785525	1.846289543570931e-11	3.113767315232375e-8
PODXL|5420	PODXL	11.830139699060187	12.84236802339176	-1.0122283243315735	2.1295254991436475e-11	3.3151797732053184e-8
SLCO2A1|6578	SLCO2A1	10.359497559849348	11.712527000439824	-1.3530294405904755	2.4048046631173068e-11	3.476316912297718e-8
CYYR1|116159	CYYR1	9.134744788329908	10.319333420384131	-1.1845886320542238	2.9141202954970115e-11	3.931731102684568e-8
SHROOM4|57477	SHROOM4	9.22888530993435	9.943767522283098	-0.7148822123487477	3.436461556202745e-11	4.3466943109019466e-8
PCDH17|27253	PCDH17	8.944636711856653	9.935250518279695	-0.9906138064230419	5.282936596610658e-11	6.289180637776853e-8
CLDN2|9075	CLDN2	11.167359099757034	12.57442796266919	-1.4070688629121566	5.849091076650582e-11	6.556723277508923e-8
LOC285768|285768	LOC285768	3.55302755360833	6.272420771492628	-2.7193932178842983	6.155635056461584e-11	6.556723277508923e-8
CUBN|8029	CUBN	11.686678183064572	13.022875788068124	-1.3361976050035516	7.724190141991997e-11	7.816108004681701e-8
EXOC3L2|90332	EXOC3L2	8.345874427767878	9.521916424030904	-1.1760419962630255	8.870709381241074e-11	8.350315477573168e-8
MMRN2|79812	MMRN2	10.31092489431769	11.470979098517489	-1.160054204199799	9.077326835982296e-11	8.350315477573168e-8
FAM102A|399665	FAM102A	10.375545096572377	9.580622257961233	0.7949228386111447	9.670089595340608e-11	8.508837966543619e-8
TEK|7010	TEK	8.627596800453361	9.736205724981867	-1.1086089245285056	1.09086345687861e-10	9.198706100128879e-8
GDF6|392255	GDF6	6.472938732937954	8.161655945987366	-1.6887172130494124	1.1684643644382076e-10	9.458952723000178e-8
TTC28|23331	TTC28	10.155117727693227	10.674880783220575	-0.5197630555273474	1.390796482341615e-10	1.0825745849857539e-7
PCDH12|51294	PCDH12	9.65958216114033	10.60213280930528	-0.9425506481649499	1.8012051739083946e-10	1.3302247745656346e-7
GIT2|9815	GIT2	11.09976614543357	11.509438534151316	-0.40967238871774647	1.895385937076438e-10	1.3302247745656346e-7
SHE|126669	SHE	8.170940471882265	9.114002556816232	-0.9430620849339668	1.9061428235202789e-10	1.3302247745656346e-7
GIPC2|54810	GIPC2	8.5412752600948	9.6745171469704	-1.1332418868756005	1.971947825832455e-10	1.330276003306574e-7
RAPGEF4|11069	RAPGEF4	7.821613552458743	8.961643584212792	-1.1400300317540495	2.1706789963080278e-10	1.4171032750736086e-7
MARS|4141	MARS	10.594603835678988	10.12309968757156	0.471504148107428	2.402417166960286e-10	1.519378707029446e-7
CD34|947	CD34	11.268436837977756	12.37743288354101	-1.108996045563254	2.749316038328781e-10	1.6860805449605416e-7
TMEM27|57393	TMEM27	9.922799470683579	11.461827289260016	-1.5390278185764377	2.875470661553104e-10	1.711581624956227e-7
FCN3|8547	FCN3	7.341825761441839	8.654449862318161	-1.312624100876322	3.381954221818712e-10	1.9555425583190597e-7
BOLA2|552900	BOLA2	9.815259716424979	9.365145719621474	0.4501139968035055	3.5960279820579644e-10	2.0215670639135854e-7
RAVER2|55225	RAVER2	8.662451276106719	9.245842642185648	-0.5833913660789296	4.0872559171806907e-10	2.1767864539974426e-7
STARD8|9754	STARD8	9.1615311551417	9.875827664831563	-0.7142965096898628	4.0872559171806907e-10	2.1767864539974426e-7
ARHGEF15|22899	ARHGEF15	8.948781726320703	9.843630599221262	-0.8948488729005586	4.3932710776452177e-10	2.2797697453688182e-7
GIMAP6|474344	GIMAP6	10.024217486495093	10.702484398515832	-0.6782669120207387	4.721609884317681e-10	2.3828372143961615e-7
FGD5|152273	FGD5	9.672121466683095	10.651697529453187	-0.9795760627700929	4.827370579614716e-10	2.3828372143961615e-7
MGAM|8972	MGAM	8.084461889664606	10.030694720974447	-1.9462328313098407	5.512217952150691e-10	2.65222416412692e-7
ESM1|11082	ESM1	11.474758906152061	12.435881181074194	-0.9611222749221326	5.635222801534616e-10	2.65222416412692e-7
INSR|3643	INSR	12.396307091151044	13.07146403854896	-0.675156947397916	6.326257431556365e-10	2.909790861359948e-7
TNFAIP6|7130	TNFAIP6	8.209052244328255	9.80739356515723	-1.5983413208289754	6.538438317206637e-10	2.9405536591917315e-7
YKT6|10652	YKT6	10.99839048974923	10.513115652969478	0.4852748367797517	7.540938525575945e-10	3.300877889744847e-7
TRIL|9865	TRIL	7.812383202441936	8.727076367187772	-0.9146931647458363	7.665839550252387e-10	3.300877889744847e-7
ST6GALNAC3|256435	ST6GALNAC3	6.617452064629079	7.67525844422791	-1.0578063795988308	7.878506015293892e-10	3.30782125143996e-7
TNFAIP8L1|126282	TNFAIP8L1	7.804639320411907	8.459234874080652	-0.6545955536687451	8.008856671635441e-10	3.30782125143996e-7
TREML3|340206	TREML3	1.2699904273547307	0.5049762556569813	0.7650141716977493	8.707464785204312e-10	3.524433446459297e-7
APOM|55937	APOM	7.47018303825897	8.855980356624922	-1.3857973183659524	9.331407711916197e-10	3.702922142622745e-7
ADCY9|115	ADCY9	9.757621905881466	10.382537570349033	-0.6249156644675669	9.588989189944848e-10	3.7319608312712277e-7
ANKS4B|257629	ANKS4B	6.843461642593079	8.136222153170195	-1.292760510577116	9.933385436888596e-10	3.753647831180574e-7
PDGFB|5155	PDGFB	9.77017767231872	10.508289986140348	-0.7381123138216275	1.001566275737479e-9	3.753647831180574e-7
CYP4A11|1579	CYP4A11	5.823825209177799	9.590188429294074	-3.7663632201162747	1.0488855843095533e-9	3.859517537319407e-7
DYNC2H1|79659	DYNC2H1	8.678551867785117	9.201038332540842	-0.5224864647557244	1.0690554448150953e-9	3.8634900164585536e-7
CD200|4345	CD200	9.111152189615897	9.810099227402961	-0.6989470377870646	1.1979810661957555e-9	4.253463301345561e-7
PLVAP|83483	PLVAP	13.104369123293054	14.045981439930554	-0.9416123166374994	1.224203220041019e-9	4.2679376710497155e-7
GNA14|9630	GNA14	6.482262165380117	7.195524774333304	-0.7132626089531868	1.2442352139140884e-9	4.2679376710497155e-7
HSPG2|3339	HSPG2	13.035116587575756	13.996808878107936	-0.9616922905321807	1.3062675658593624e-9	4.4060404996436293e-7
C1orf115|79762	C1orf115	9.951599628474195	10.514990141602901	-0.5633905131287058	1.371310853833778e-9	4.5496047639160654e-7
ZNF366|167465	ZNF366	5.780056104341204	6.981338944144316	-1.2012828398031115	1.5689954703405192e-9	5.067386255985792e-7
SLC16A13|201232	SLC16A13	6.648283551773703	7.400905046026019	-0.752621494252316	1.5774549566513733e-9	5.067386255985792e-7
CTNND1|1500	CTNND1	12.799003363880324	13.167847754079343	-0.36884439019901905	1.6291514803237513e-9	5.151682446686263e-7
MAOB|4129	MAOB	11.863309130272395	12.373283881358104	-0.5099747510857089	1.7562867262775814e-9	5.468266271754722e-7
PSMD7|5713	PSMD7	10.548372518828641	10.324866845113668	0.22350567371497299	1.794352543185665e-9	5.502137389241134e-7
LGALS2|3957	LGALS2	8.898819019075827	9.946703084250993	-1.0478840651751664	1.8729110493446817e-9	5.657309524871294e-7
ATP11A|23250	ATP11A	12.038817476937322	12.662953148405217	-0.6241356714678954	1.9443909282026188e-9	5.786850530141853e-7
HAO2|51179	HAO2	6.097034260740688	8.20635995475866	-2.109325694017972	2.0290876391530224e-9	5.951402266837516e-7
SCGN|10590	SCGN	5.672296288828005	8.584586749959588	-2.9122904611315823	2.1635016142217435e-9	6.254992238374235e-7
MYCT1|80177	MYCT1	8.304630324916204	9.444491075271099	-1.1398607503548952	2.198468476823676e-9	6.266564089289797e-7
SLC17A3|10786	SLC17A3	9.62190285559019	11.789464361341516	-2.1675615057513262	2.3686146687660158e-9	6.657781064789809e-7
TALDO1|6888	TALDO1	11.237186209008241	10.884132352068104	0.3530538569401376	2.4716067679468047e-9	6.677089751446682e-7
XPO6|23214	XPO6	10.855990368523997	10.49430559590564	0.3616847726183572	2.51132429036423e-9	6.677089751446682e-7
ASPA|443	ASPA	7.912567042796183	8.692803780724875	-0.7802367379286919	2.5516657716205805e-9	6.677089751446682e-7
RHEB|6009	RHEB	10.301809172832964	9.891423743869208	0.41038542896375674	2.565246551184793e-9	6.677089751446682e-7
ELTD1|64123	ELTD1	10.297244684040646	11.220475068461099	-0.923230384420453	2.565251784403149e-9	6.677089751446682e-7
SLC7A9|11136	SLC7A9	7.237379049433975	8.387633951262265	-1.1502549018282897	2.606431232196936e-9	6.677089751446682e-7
HSPA12B|116835	HSPA12B	7.571407786062732	8.348546699579007	-0.777138913516275	2.6064338885477213e-9	6.677089751446682e-7
SLC22A24|283238	SLC22A24	0.9191671754575008	3.1259486020433327	-2.206781426585832	2.702928751669421e-9	6.837734009535718e-7
METRNL|284207	METRNL	9.146219922438842	8.316639049508924	0.8295808729299186	2.95989960775722e-9	7.395363982937113e-7
PWWP2B|170394	PWWP2B	7.493691719768323	6.902785101210757	0.5909066185575664	3.007238228584014e-9	7.422010642693082e-7
C16orf61|56942	C16orf61	8.696358798564168	8.194515564426435	0.5018432341377324	3.1205799593955177e-9	7.60895147207789e-7
OR2T10|127069	OR2T10	1.1651277154720847	3.2448718407411494	-2.0797441252690647	3.3180459248383748e-9	7.940348337731174e-7
RASGRP3|25780	RASGRP3	9.364670401430152	9.920598494648399	-0.5559280932182471	3.3776334803399247e-9	7.940348337731174e-7
CDH5|1003	CDH5	10.948048345050296	11.916110848600692	-0.9680625035503958	3.3776368748781073e-9	7.940348337731174e-7
LDB2|9079	LDB2	9.625961665399263	10.690565506128822	-1.0646038407295588	3.4134316898043885e-9	7.940348337731174e-7
