protein	median_cluster1	median_cluster2	diff	p_value	fdr
BRAF	0.9885685	1.340849835	-0.35228133500000003	6.565469355790159e-13	2.7974608559453725e-12
ERK2	1.1431793780000001	1.574216002	-0.43103662399999987	1.1969324827322677e-12	4.991463119479245e-12
XBP1	-0.8528350835	-1.054312331	0.20147724749999996	5.5611557230741576e-12	2.270805253588614e-11
P70S6K	0.35951043650000003	0.517512806	-0.15800236950000002	6.636833347745009e-12	2.6547333390980035e-11
CD20	0.5475691739999999	0.307260674	0.24030849999999992	8.20730679233571e-12	3.217264262595599e-11
P70S6K_pT389	-1.402543723	-1.711209726	0.30866600300000013	1.1099145943522246e-11	4.265554127314432e-11
MTOR	0.7241851454999999	0.939067567	-0.21488242150000014	1.6000420936037704e-11	6.03092789127575e-11
TUBERIN	0.592527638	1.004486441	-0.4119588030000001	1.653461039375501e-11	6.114686107879211e-11
CYCLINB1	-1.0437891865	-1.439215766	0.39542657950000004	1.8573149987534556e-11	6.698084428110683e-11
NDRG1_pT346	1.670400162	2.875412811	-1.205012649	1.879564507888202e-11	6.698084428110683e-11
MEK1_pS217S221	-0.4964993095	-0.165094997	-0.3314043125	5.23698333338283e-11	1.8329441666839907e-10
CRAF_pS338	0.067949184	-0.040519905	0.10846908899999999	5.714665339624879e-11	1.9650428185376778e-10
TUBERIN_pT1462	-0.6248443145	-0.378045423	-0.2467988915	1.2092470633875137e-10	4.086421110757805e-10
AKT_pS473	-0.457134239	-0.020304947	-0.436829292	2.2580787337797173e-10	7.501414098658044e-10
IRS1	-0.67431472	-0.868551392	0.19423667199999994	2.7034122942708237e-10	8.831146827951358e-10
AMPK_pT172	1.731340743	2.231387825	-0.500047082	3.2160998035833935e-10	1.033369772954664e-9
GAPDH	2.382346963	3.48875795	-1.1064109870000003	4.827343756398171e-10	1.5018486247690225e-9
AMPKALPHA	1.3040603229999999	1.729090767	-0.4250304440000001	4.827370579614716e-10	1.5018486247690225e-9
ERCC1	-0.1312187845	-0.274739829	0.1435210445	5.542715139961304e-10	1.6974565116131494e-9
IGFBP2	-0.0568473555	-0.472555555	0.41570819950000004	5.987453856884225e-10	1.8054476245373968e-9
EIF4G	-0.4799588985	-0.230054777	-0.24990412150000002	6.945605850038537e-10	2.0626344645568987e-9
CDK1	0.36164112800000003	0.164298902	0.19734222600000004	9.230267530481417e-10	2.70019766563337e-9
P90RSK_pT359S363	-0.6475939230000001	-0.414869821	-0.23272410200000004	1.1534060352523e-9	3.324523278080159e-9
NFKBP65_pS536	-0.4832004125	0.272808792	-0.7560092045	1.197979794409236e-9	3.4029570971624677e-9
EIF4E	0.2984538245	0.128197909	0.17025591550000002	1.4084713005604651e-9	3.943719641569302e-9
CYCLIND1	0.32470443000000004	0.164487951	0.16021647900000005	1.8234263894749858e-9	5.0336841174239045e-9
PDK1_pS241	0.5421320445	0.809369928	-0.2672378835	2.0842542966036037e-9	5.673803362976477e-9
P90RSK	-0.4808972625	-0.286228563	-0.1946686995	3.541641771548615e-9	9.5090655784045e-9
P27_pT198	-0.159405109	-0.259078574	0.09967346500000002	4.146276643620673e-9	1.098203002904935e-8
HER3_pY1298	0.5482422935	0.387895866	0.1603464275	6.90672515638937e-9	1.804957507536422e-8
XRCC1	-0.051039469500000004	-0.234783894	0.1837444245	7.424739379077751e-9	1.9148012082884726e-8
MTOR_pS2448	-0.7243028549999999	-0.557883638	-0.16641921699999995	8.021662679643875e-9	2.041877773000259e-8
NRAS	-1.035789677	-1.200805372	0.16501569500000013	8.445265828037483e-9	2.12214372089147e-8
AR	-0.195176589	0.076728125	-0.271904714	1.060877208314772e-8	2.632049782654371e-8
CKIT	0.0240127995	-0.159142507	0.1831553065	1.3512251649926514e-8	3.310501654231996e-8
MYH11	0.3722011645	1.939528144	-1.5673269795	1.6795945466319897e-8	4.064204088146543e-8
ASNS	-1.068787431	-1.490489174	0.42170174299999985	4.582797954641535e-8	1.0954004867191962e-7
CMYC	0.8055329090000001	0.568655709	0.23687720000000012	4.719477985676959e-8	1.1144791387863663e-7
CAVEOLIN1	2.232827057	2.78255279	-0.5497257329999998	6.96308868866354e-8	1.6247206940214926e-7
PI3KP85	1.3179094885	1.524891876	-0.2069823875000001	7.522104697722708e-8	1.7345088479454712e-7
EEF2K	-0.1248174655	0.123814333	-0.2486317985	8.221594770647006e-8	1.873758808193969e-7
STAT3_pY705	-0.2382649315	0.041086163	-0.2793510945	8.64805172727722e-8	1.948296710972799e-7
SRC_pY527	-0.417303398	-0.052267872	-0.365035526	9.563559663345579e-8	2.130065561381515e-7
P38MAPK	-0.108302533	0.075035506	-0.183338039	1.0776105462630642e-7	2.373164798511917e-7
PDCD4	1.0571418705	1.335445298	-0.27830342750000003	3.0911113233932793e-7	6.731753548723142e-7
SMAD4	-0.847608578	-0.991320937	0.143712359	3.1922373810037206e-7	6.875588205238782e-7
RAD50	0.044254602500000004	0.273464672	-0.2292100695	5.487680615615536e-7	1.1691145659354839e-6
X53BP1	0.9233859360000001	1.209473362	-0.2860874259999999	6.224439960988294e-7	1.3118174541437693e-6
MAPK_pT202Y204	-0.23397274	0.4985951	-0.73256784	9.213728058970238e-7	1.921160318678901e-6
PAI1	-1.2878786955	-1.934941352	0.6470626565000002	1.123549188845514e-6	2.3180593790917976e-6
PR	-1.1087165305	-1.141215419	0.032498888499999934	2.1352026745922603e-6	4.359372127292531e-6
NCADHERIN	0.3152481025	0.142616217	0.17263188550000003	2.252127297658838e-6	4.550690209702394e-6
ACVRL1	-0.176019947	-0.345720506	0.16970055899999997	2.8768522422068595e-6	5.753704484413719e-6
HER2	0.161180535	0.36469506	-0.203514525	4.667704009321532e-6	9.207431972966727e-6
FOXO3A_pS318S321	-1.288765454	-1.373277272	0.08451181799999996	4.697669373962616e-6	9.207431972966727e-6
BAD_pS112	0.3047558445	0.502839957	-0.19808411249999996	4.998785355378986e-6	9.700613164893875e-6
TTF1	-0.750971391	-1.265800364	0.514828973	5.177216107354753e-6	9.94837604942678e-6
ACETYLATUBULINLYS40	1.5572257415	1.943705185	-0.3864794435000001	7.116342286236105e-6	1.3541777554391035e-5
SF2	-1.450785534	-1.567092805	0.11630727099999993	7.502843753432174e-6	1.4139974766083713e-5
BCL2	-0.42558465999999995	-0.179529196	-0.24605546399999995	8.337723086764325e-6	1.5563749761960074e-5
RAB25	-2.1261716155	-2.350236792	0.2240651764999999	8.646783175436868e-6	1.598839153193987e-5
G6PD	-0.8278915920000001	-1.051459323	0.22356773099999994	9.003007708483913e-6	1.649149075572754e-5
PKCALPHA	-0.37970575100000004	-0.147784757	-0.23192099400000005	9.757868677195644e-6	1.7708724636392097e-5
X4EBP1_pT70	-0.253595535	-0.401121122	0.147525587	2.5365481488633213e-5	4.561132451167074e-5
