patient_id	PC1	PC2	cluster
TCGA-3Z-A93Z	13.642507119580404	-2.3759169521423193	1
TCGA-6D-AA2E	10.726217399336104	2.0466739252222363	1
TCGA-A3-3306	-2.4221174742774094	3.9264247742874	2
TCGA-A3-3308	-2.5210621139848715	-0.6427781504756772	2
TCGA-A3-3311	-2.0951140270559003	0.07760365227321608	2
TCGA-A3-3313	4.07988098622166	5.668523560440686	1
TCGA-A3-3316	-2.756103135938309	-2.9869121582673395	2
TCGA-A3-3317	-3.8424375641524007	1.2778102600939287	2
TCGA-A3-3319	-5.4953178973477135	5.991749525862114	2
TCGA-A3-3320	-0.40673540075227577	-2.4828393430543456	2
TCGA-A3-3322	2.1984548194731506	-3.3589856955731157	2
TCGA-A3-3323	-0.6763137240472015	-1.0416574359547102	2
TCGA-A3-3324	3.066786449302785	-3.112966537822792	2
TCGA-A3-3326	-0.3632276153433242	1.754525369552935	2
TCGA-A3-3329	-3.1515908128651433	-2.6612215813189803	2
TCGA-A3-3331	-0.7567033652755862	-2.7660147982477787	2
TCGA-A3-3335	-1.5201670335952144	6.3930572285738725	2
TCGA-A3-3346	6.964587442122791	4.414068764881505	1
TCGA-A3-3347	-4.7182397838832975	2.790360051963804	2
TCGA-A3-3349	-0.170575825104002	-4.148999499495102	2
TCGA-A3-3351	-5.753347352501913	0.36309953813525614	2
TCGA-A3-3352	-3.624345726862865	1.5833611649315753	2
TCGA-A3-3357	4.429671752956694	0.631856690653854	1
TCGA-A3-3362	3.911059843218451	-3.063268247021124	2
TCGA-A3-3363	4.0025580381524	10.240101158962053	1
TCGA-A3-3365	-0.6216042018697633	-6.799819959630622	2
TCGA-A3-3367	-4.276084945259657	-0.13849700898636047	2
TCGA-A3-3370	-0.6998527984805506	-5.1420603390183635	2
TCGA-A3-3372	-2.8293236008802825	-1.7526071429943217	2
TCGA-A3-3373	5.258014815770858	-5.16504148783292	1
TCGA-A3-3374	11.132012827809527	4.712234085053111	1
TCGA-A3-3376	4.550357881161158	-5.362014491812784	2
TCGA-A3-3378	7.7492005323436715	7.17177698611775	1
TCGA-A3-3380	-0.24210922163897683	-3.9670601924124873	2
TCGA-A3-3382	3.4978346403237266	-2.299517440407667	2
TCGA-A3-3383	-3.2033085327720396	0.8422153197888826	2
TCGA-A3-3385	-2.7667254365226053	3.345977986125828	2
TCGA-A3-3387	-3.485412842338623	-1.8080616252070827	2
TCGA-AK-3427	12.370597318893013	2.577904575881048	1
TCGA-AK-3428	12.65904220809819	5.675492961520917	1
TCGA-AK-3434	-1.6969461398497796	2.6863158802199547	2
TCGA-AK-3436	5.308005522328278	5.148265741520944	1
TCGA-AK-3444	-0.5187880322602142	-0.39367555514241626	2
TCGA-AK-3451	1.26072035604813	-1.0866505306063474	2
TCGA-AK-3456	8.529175183743241	4.193734660453658	1
TCGA-B0-4688	6.04886027572098	12.776302050664524	1
TCGA-B0-4690	0.9853996481214948	6.09318345041273	2
TCGA-B0-4691	-2.4090595965001307	1.178860674098495	2
TCGA-B0-4693	-1.7684913597903267	0.44815217195803125	2
TCGA-B0-4694	0.9787790140342343	5.415748863097081	2
TCGA-B0-4696	3.8755355655989794	10.119085609158809	1
TCGA-B0-4697	5.186156058648345	0.9294949848282552	1
TCGA-B0-4698	3.1704276583476214	8.63691397551741	1
TCGA-B0-4699	9.338750743002254	7.391881966160969	1
TCGA-B0-4700	-1.3562851622258423	0.38824514484292616	2
TCGA-B0-4701	-1.0221473257802147	-2.1319586817367298	2
TCGA-B0-4703	-2.053312808574927	-0.029875312318414615	2
TCGA-B0-4706	0.15303184225693883	1.9902043072896929	2
TCGA-B0-4707	0.4269781428534111	7.069106202186726	2
TCGA-B0-4710	0.5562579668559228	-0.8193804601380184	2
TCGA-B0-4712	-1.8676876167666037	0.23322488245697265	2
TCGA-B0-4713	4.070008958605217	9.884359329043528	1
TCGA-B0-4714	3.6084973805118215	0.7374313214795245	1
TCGA-B0-4718	0.8345717849802424	2.575946212858295	2
TCGA-B0-4810	-0.05658238851870676	2.5583497928280927	2
TCGA-B0-4811	-2.0024433578309364	4.117626349516294	2
TCGA-B0-4813	2.55997449022281	2.4994323516653196	2
TCGA-B0-4814	0.20667772340760232	4.294629317458614	2
TCGA-B0-4815	1.2119846132906562	1.1571934592809994	2
TCGA-B0-4816	-1.7872561899179842	1.3500412243340436	2
TCGA-B0-4817	16.74983077258531	1.4423644754492322	1
TCGA-B0-4818	-0.40653739004290407	2.3216261507465017	2
TCGA-B0-4819	0.9785337357432857	1.4521604281397804	2
TCGA-B0-4821	4.045077389469599	2.855461466104699	1
TCGA-B0-4822	-2.582384826204117	1.5277914862136612	2
TCGA-B0-4823	0.5463747519397487	-6.0156839677244385	2
TCGA-B0-4824	-1.5032226981585386	0.6265514516766119	2
TCGA-B0-4827	-1.8739488218775613	4.507878121362584	2
TCGA-B0-4828	-1.4038657274320598	4.348619234942575	2
TCGA-B0-4833	2.18864478200425	0.05496501902423239	2
TCGA-B0-4834	10.100859004408797	1.1528247105388696	1
TCGA-B0-4836	-0.3420085931426821	-0.9494572144585176	2
TCGA-B0-4837	2.508970313614572	-0.8960960225911909	2
TCGA-B0-4838	-4.242534606449376	0.8269492497485125	2
TCGA-B0-4839	1.0853948131868008	-0.6583419072395617	2
TCGA-B0-4841	-0.1933025704783211	-0.4416613198755943	2
TCGA-B0-4842	3.1293346204382164	10.026385140498396	1
TCGA-B0-4843	-0.754336927458542	-0.8618670871995401	2
TCGA-B0-4844	-1.3297700593657948	0.33146684781880215	2
TCGA-B0-4845	-3.6226675036600353	3.022196452751826	2
TCGA-B0-4846	-4.679707399628823	0.13244065293847684	2
